Length,Popularity
415,23
175,24
247,19
253,19
195,34
240,21
277,25
214,16
261,24
258,13
244,15
182,53
203,42
192,17
179,15
332,12
483,28
818,18
477,16
478,13
393,31
367,15
477,15
472,16
436,14
499,16
417,14
282,12
269,19
215,14
216,14
245,12
182,12
223,10
242,10
242,11
230,11
254,9
216,8
266,9
239,8
228,8
270,11
239,8
254,7
259,6
228,6
208,6
279,7
268,5
195,6
244,6
214,6
277,5
197,5
195,6
238,6
216,5
264,5
276,5
267,5
303,5
296,5
254,5
262,4
247,5
251,6
275,5
267,4
300,6
214,4
247,6
222,5
287,5
238,5
232,5
252,6
271,4
210,14
433,9
404,0
206,19
197,17
195,18
209,13
248,18
205,12
218,23
215,13
208,12
202,17
246,11
236,23
209,11
186,11
136,13
216,15
178,11
211,13
202,8
180,8
276,16
183,11
181,18
246,4
291,13
292,17
267,8
282,11
253,14
248,8
305,9
314,0
237,0
317,0
360,0
287,0
378,35
384,27
255,16
412,10
334,29
363,15
345,14
266,13
368,9
261,11
269,11
306,15
192,7
375,10
347,8
280,8
251,7
230,6
252,8
297,9
282,10
266,6
313,6
281,6
191,6
279,2
296,10
335,32
312,16
310,5
312,3
306,2
327,23
233,3
296,3
262,2
400,3
455,46
201,35
214,44
215,33
290,31
225,37
169,25
334,28
198,29
244,30
268,29
225,28
222,37
226,27
276,27
371,29
309,46
321,35
237,38
247,50
238,53
